com_unit,trx_amt,cost_amt,saleman_cd,inv_desc,trx_date
OUT001,1000.50,500.25,S001,Rolex,2024-01-01
OUT001,2000.00,1000.00,S002,Omega,2024-01-02
OUT002,1500.75,750.37,S003,Patek Philippe,2024-01-03
OUT002,2500.25,1250.12,S004,Audemars Piguet,2024-01-04
OUT003,3000.00,1500.00,S005,Tag Heuer,2024-01-05
OUT003,4000.00,2000.00,S006,Breitling,2024-01-06
OUT004,5000.00,2500.00,S007,Cartier,2024-01-07
OUT004,6000.00,3000.00,S008,IWC,2024-01-08
OUT005,7000.00,3500.00,S009,Hublot,2024-01-09
OUT005,8000.00,4000.00,S010,Panerai,2024-01-10
OUT006,9000.00,4500.00,S011,Jaeger-LeCoultre,2024-01-11
OUT006,10000.00,5000.00,S012,Vacheron Constantin,2024-01-12
OUT007,11000.00,5500.00,S013,Tudor,2024-01-13
OUT007,12000.00,6000.00,S014,Longines,2024-01-14
OUT008,13000.00,6500.00,S015,Zenith,2024-01-15
OUT008,14000.00,7000.00,S016,Blancpain,2024-01-16
OUT009,15000.00,7500.00,S017,Breguet,2024-01-17
OUT009,16000.00,8000.00,S018,Chopard,2024-01-18
OUT010,17000.00,8500.00,S019,Piaget,2024-01-19
OUT010,18000.00,9000.00,S020,Glashütte Original,2024-01-20
OUT011,19000.00,9500.00,S021,Ulysse Nardin,2024-01-21
OUT011,20000.00,10000.00,S022,Girard-Perregaux,2024-01-22
OUT012,21000.00,10500.00,S023,Bell & Ross,2024-01-23
OUT012,22000.00,11000.00,S024,Montblanc,2024-01-24
OUT013,23000.00,11500.00,S025,Oris,2024-01-25
OUT013,24000.00,12000.00,S026,Hamilton,2024-01-26
OUT014,25000.00,12500.00,S027,Tissot,2024-01-27
OUT014,26000.00,13000.00,S028,Seiko,2024-01-28
